timestamp,energy_kwh,meter_id
2026-01-01T00:00:00+07:00,1.85,home-b
2026-01-01T01:00:00+07:00,1.90,home-b
2026-01-01T02:00:00+07:00,1.75,home-b
2026-01-01T03:00:00+07:00,1.65,home-b
2026-01-01T04:00:00+07:00,1.45,home-b
2026-01-01T05:00:00+07:00,0.55,home-b
2026-01-01T06:00:00+07:00,0.50,home-b
2026-01-01T07:00:00+07:00,0.62,home-b
2026-01-01T08:00:00+07:00,0.48,home-b
2026-01-01T09:00:00+07:00,0.42,home-b
2026-01-01T10:00:00+07:00,0.40,home-b
2026-01-01T11:00:00+07:00,0.43,home-b
2026-01-01T12:00:00+07:00,0.46,home-b
2026-01-01T13:00:00+07:00,0.44,home-b
2026-01-01T14:00:00+07:00,0.40,home-b
2026-01-01T15:00:00+07:00,0.42,home-b
2026-01-01T16:00:00+07:00,0.55,home-b
2026-01-01T17:00:00+07:00,0.95,home-b
2026-01-01T18:00:00+07:00,1.20,home-b
2026-01-01T19:00:00+07:00,1.30,home-b
2026-01-01T20:00:00+07:00,1.10,home-b
2026-01-01T21:00:00+07:00,0.95,home-b
2026-01-01T22:00:00+07:00,1.40,home-b
2026-01-01T23:00:00+07:00,1.80,home-b
